epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.813,2.10041,8.43831,2.24372,0.07717,0.21667,0.0969,0.05622,1.73188,13.3372,2.46652,0.00010672,0.00010672,0.00010672
2,54.6034,1.68049,4.7581,2.01049,0.24204,0.45018,0.25186,0.14127,1.54025,7.69534,2.19393,0.000216478,0.000216478,0.000216478
3,71.5023,1.5319,3.74764,1.77047,0.57716,0.34063,0.40054,0.20172,1.57602,4.03972,1.95277,0.000322494,0.000322494,0.000322494
4,90.3794,1.60505,3.14495,1.69586,0.36368,0.44074,0.42674,0.21233,1.83309,2.96883,2.02792,0.000424769,0.000424769,0.000424769
5,106.702,1.52592,2.59935,1.6072,0.28972,0.61835,0.51829,0.27668,1.98186,2.41588,2.27212,0.000523302,0.000523302,0.000523302
6,125.446,1.47916,2.3618,1.62484,0.31057,0.42735,0.44847,0.19724,1.85135,2.66799,2.0019,0.000611972,0.000611972,0.000611972
7,145.831,1.44225,1.92833,1.55597,0.57552,0.47013,0.57112,0.28825,1.82668,2.02809,2.16515,0.000600967,0.000600967,0.000600967
8,168.612,1.43812,1.89241,1.56545,0.61436,0.46519,0.48926,0.27882,1.9839,2.33646,2.18891,0.000589961,0.000589961,0.000589961
9,190.825,1.44879,1.7258,1.58025,0.77576,0.46047,0.66108,0.37202,1.70095,1.76254,1.98615,0.000578956,0.000578956,0.000578956
10,211.241,1.49105,1.66791,1.58476,0.86898,0.66291,0.78959,0.43866,1.67467,1.73281,1.91777,0.00056795,0.00056795,0.00056795
11,230.975,1.36177,1.71262,1.5501,0.84444,0.5573,0.69914,0.44517,1.5896,1.80229,1.93674,0.000556945,0.000556945,0.000556945
12,250.951,1.47248,1.55983,1.58278,0.87186,0.51229,0.67362,0.41038,1.62509,1.56266,1.83026,0.00054594,0.00054594,0.00054594
13,270.283,1.35764,1.42073,1.46834,0.78077,0.66069,0.75722,0.43598,1.82023,1.50704,2.04949,0.000534934,0.000534934,0.000534934
14,291.559,1.35697,1.46362,1.46346,0.77316,0.56673,0.62484,0.34535,1.76287,2.19654,2.0123,0.000523928,0.000523928,0.000523928
15,313.034,1.3442,1.43424,1.52759,0.81506,0.63185,0.79491,0.43822,1.81401,1.43572,2.02608,0.000512923,0.000512923,0.000512923
16,334.86,1.27953,1.3345,1.51298,0.85958,0.66842,0.7268,0.42221,1.75306,1.32141,2.02114,0.000501917,0.000501917,0.000501917
17,354.771,1.3266,1.27889,1.50128,0.91665,0.56672,0.74198,0.4445,1.64431,1.3882,1.91904,0.000490912,0.000490912,0.000490912
18,376.887,1.2171,1.2796,1.38255,0.92708,0.72075,0.88092,0.46015,1.72297,1.34242,1.93328,0.000479907,0.000479907,0.000479907
19,397.515,1.22381,1.1809,1.42198,0.83046,0.83445,0.84844,0.48533,1.6705,1.17184,1.93361,0.000468901,0.000468901,0.000468901
20,413.892,1.17577,1.12273,1.39634,0.80037,0.75878,0.82446,0.50369,1.59778,1.40411,1.81472,0.000457895,0.000457895,0.000457895
21,430.077,1.17836,1.14582,1.41299,0.90651,0.69875,0.80303,0.4753,1.63934,1.31893,1.88509,0.00044689,0.00044689,0.00044689
22,446.146,1.22677,1.22377,1.43914,0.86043,0.83868,0.9212,0.51501,1.64338,0.96496,1.91906,0.000435884,0.000435884,0.000435884
23,463.436,1.17069,1.05772,1.38715,0.84988,0.83012,0.92129,0.53883,1.70582,1.00177,1.92357,0.000424879,0.000424879,0.000424879
24,480.189,1.1502,1.12879,1.40161,0.66265,0.86043,0.91679,0.5462,1.50752,0.99764,1.76136,0.000413873,0.000413873,0.000413873
25,497.466,1.25543,1.12022,1.50514,0.85327,0.76059,0.90088,0.48748,1.67541,0.95975,1.91546,0.000402868,0.000402868,0.000402868
26,514.527,1.09963,1.01988,1.336,0.78968,0.96523,0.98574,0.51958,1.57442,0.79824,1.87053,0.000391862,0.000391862,0.000391862
27,532.302,1.07086,1.07427,1.32392,0.7408,0.89444,0.93159,0.48231,1.59919,0.89434,1.92402,0.000380857,0.000380857,0.000380857
28,548.202,1.11896,1.06582,1.336,0.69165,0.87148,0.89853,0.5114,1.60717,1.06652,1.92384,0.000369851,0.000369851,0.000369851
29,564.904,1.02903,0.91206,1.27488,0.81215,0.74581,0.89507,0.53751,1.60423,1.04613,1.97488,0.000358846,0.000358846,0.000358846
30,582.98,1.10879,0.96525,1.32907,0.70246,0.90526,0.91008,0.49838,1.65225,1.09168,1.99346,0.00034784,0.00034784,0.00034784
31,600.204,1.08432,0.93899,1.29361,0.88928,0.76948,0.88931,0.51062,1.65008,0.91261,1.9313,0.000336835,0.000336835,0.000336835
32,616.663,0.95562,0.84785,1.25076,0.76572,0.89399,0.87968,0.52927,1.56362,0.88835,1.87534,0.000325829,0.000325829,0.000325829
33,633.972,0.99289,0.87566,1.26435,0.66338,0.83333,0.82245,0.49271,1.63965,0.84011,1.97642,0.000314824,0.000314824,0.000314824
34,649.223,0.96899,0.89498,1.23241,0.85393,0.80581,0.92319,0.51608,1.66788,0.84689,2.06346,0.000303818,0.000303818,0.000303818
35,665.637,0.98007,0.89126,1.24962,0.78646,0.85122,0.90811,0.49657,1.62461,0.93101,2.00634,0.000292813,0.000292813,0.000292813
36,683.108,0.99215,0.93839,1.29017,0.86726,0.90791,0.89304,0.45933,1.6589,0.90817,1.99441,0.000281807,0.000281807,0.000281807
37,700.179,0.94177,0.90533,1.22684,0.8997,0.96117,0.98759,0.52229,1.59537,0.66474,1.97942,0.000270802,0.000270802,0.000270802
38,716.576,0.91548,0.79006,1.2125,0.85518,0.92361,0.94872,0.52392,1.62712,0.75734,2.04862,0.000259796,0.000259796,0.000259796
39,734.442,0.95502,0.79604,1.21382,0.88454,0.94664,0.98944,0.5428,1.64476,0.76544,2.03152,0.000248791,0.000248791,0.000248791
40,751.522,0.90741,0.76498,1.17559,0.83826,0.92301,0.95241,0.51256,1.59715,0.7578,1.95505,0.000237785,0.000237785,0.000237785
41,767.316,0.92004,0.81242,1.23093,0.94477,0.90819,0.96907,0.56424,1.53256,0.74711,1.90564,0.00022678,0.00022678,0.00022678
42,783.467,0.87572,0.73701,1.21101,0.92437,0.90646,0.97648,0.56555,1.60249,0.80993,1.97876,0.000215774,0.000215774,0.000215774
43,799.701,0.89803,0.86624,1.1878,0.89931,0.94252,0.97424,0.53614,1.65556,0.77198,2.02894,0.000204769,0.000204769,0.000204769
44,817.551,0.79263,0.6101,1.11581,0.87436,0.90227,0.94617,0.53146,1.63305,0.82009,2.0842,0.000193763,0.000193763,0.000193763
45,834.781,0.82994,0.65194,1.15566,0.89101,0.87722,0.93616,0.51013,1.62394,0.81432,2.01843,0.000182758,0.000182758,0.000182758
46,852.159,0.8127,0.64065,1.14416,0.9333,0.88024,0.94529,0.50857,1.65135,0.72323,2.06792,0.000171752,0.000171752,0.000171752
47,869.704,0.80366,0.72097,1.14581,0.91315,0.92215,0.96722,0.53061,1.61681,0.66526,2.01798,0.000160747,0.000160747,0.000160747
48,886.255,0.78782,0.62015,1.12289,0.93471,0.93163,0.995,0.53111,1.64733,0.62405,2.04845,0.000149741,0.000149741,0.000149741
49,903.996,0.79615,0.67425,1.14446,0.93506,0.93617,0.995,0.53769,1.63222,0.60964,2.05855,0.000138736,0.000138736,0.000138736
50,921.517,0.77474,0.65774,1.105,0.93999,0.92914,0.995,0.54317,1.64174,0.63053,2.06094,0.000127731,0.000127731,0.000127731
51,945.777,0.69183,0.58587,1.15724,0.89341,0.95345,0.995,0.53747,1.68136,0.6528,2.14429,0.000116725,0.000116725,0.000116725
52,961.832,0.69651,0.47401,1.1252,0.92285,0.92224,0.95532,0.53765,1.66023,0.6342,2.1403,0.00010572,0.00010572,0.00010572
53,976.669,0.69347,0.43671,1.09513,0.89309,0.88765,0.89436,0.52391,1.65273,0.64828,2.10772,9.4714e-05,9.4714e-05,9.4714e-05
54,991.891,0.67017,0.43069,1.09012,0.89352,0.92666,0.94819,0.53127,1.65965,0.59869,2.13959,8.37085e-05,8.37085e-05,8.37085e-05
55,1007.14,0.83728,0.76886,1.23379,0.8967,0.93234,0.94833,0.54764,1.62391,0.5862,2.09799,7.2703e-05,7.2703e-05,7.2703e-05
56,1023.31,0.61433,0.39561,1.05904,0.93899,0.94562,0.995,0.56756,1.60512,0.58174,2.07912,6.16975e-05,6.16975e-05,6.16975e-05
57,1039.4,0.60976,0.39845,1.02793,0.93862,0.93454,0.995,0.59075,1.6078,0.59706,2.10368,5.0692e-05,5.0692e-05,5.0692e-05
58,1055.33,0.63755,0.39889,1.09179,0.95221,0.92042,0.98944,0.58858,1.6105,0.60489,2.113,3.96865e-05,3.96865e-05,3.96865e-05
59,1072.22,0.61592,0.40875,1.04807,0.95911,0.91325,0.98944,0.57833,1.61429,0.60397,2.117,2.8681e-05,2.8681e-05,2.8681e-05
60,1086.73,0.57119,0.4536,1.06422,0.9467,0.92965,0.995,0.58573,1.61553,0.60302,2.10346,1.76755e-05,1.76755e-05,1.76755e-05
